Epoch     	Mloss_in  	Mloss_out 	Time      |	ML     HCS      RL	|	ML     CCS      RL	|	ML     NCS      RL	|	ML     FCS      RL	|	ML     1JCH     RL	|	ML     1JCC     RL	|	ML     1JNH     RL	|	ML     1JNC     RL	|	ML     1JFC     RL	|	ML     2JCH     RL	|	ML     2JHH     RL	|	ML     2JCC     RL	|	ML     2JNH     RL	|	ML     2JNC     RL	|	ML     2JFH     RL	|	ML     2JFC     RL	|	ML     2JFF     RL	|	ML     3JCH     RL	|	ML     3JHH     RL	|	ML     3JCC     RL	|	ML     3JNH     RL	|	ML     3JNC     RL	|	ML     3JFH     RL	|	ML     3JFC     RL	|	ML     3JFF     RL	|	ML     4JCH     RL	|	ML     4JHH     RL	|	ML     4JCC     RL	|	ML     4JNH     RL	|	ML     4JNC     RL	|	ML     4JFH     RL	|	ML     4JFC     RL	|	ML     4JFF     RL	|
0         	0.0309    	0.0364    	23.535    |	0.0851      1.3852	|	0.0927     25.5287	|	0.1006     57.3646	|	0.1571     31.7642	|	0.0446     11.1817	|	0.0375     10.0044	|	0.0691      6.3095	|	0.0645      4.3270	|	0.0929     21.5298	|	0.0375      4.2106	|	0.0492      2.5397	|	0.0462      2.4732	|	0.0681      2.0724	|	0.0735      2.5081	|	0.1654      8.4724	|	0.0921      7.5596	|	0.1427     56.5594	|	0.0416      2.3520	|	0.0500      2.7092	|	0.0503      2.0936	|	0.0815      0.9529	|	0.0672      0.7559	|	0.0978      6.4249	|	0.0801      4.0696	|	0.0779     16.1666	|	0.0435      0.6983	|	0.0480      0.8064	|	0.0400      0.6589	|	0.0452      0.2762	|	0.0445      0.3042	|	0.0594      2.1771	|	0.0669      2.6472	|	0.0986     11.4967	|
24        	0.0037    	0.0069    	23.812    |	0.0078      0.1274	|	0.0063      1.7279	|	0.0083      4.7353	|	0.0192      3.8777	|	0.0045      1.1402	|	0.0038      1.0034	|	0.0090      0.8216	|	0.0073      0.4908	|	0.0144      3.3345	|	0.0037      0.4163	|	0.0059      0.3058	|	0.0067      0.3608	|	0.0065      0.1985	|	0.0075      0.2565	|	0.0338      1.7335	|	0.0172      1.4104	|	0.0169      6.7132	|	0.0058      0.3281	|	0.0053      0.2854	|	0.0073      0.3020	|	0.0107      0.1255	|	0.0111      0.1247	|	0.0140      0.9216	|	0.0134      0.6822	|	0.0159      3.2903	|	0.0077      0.1229	|	0.0067      0.1122	|	0.0074      0.1221	|	0.0088      0.0537	|	0.0086      0.0589	|	0.0121      0.4446	|	0.0117      0.4633	|	0.0194      2.2584	|
49        	0.0015    	0.0040    	23.796    |	0.0034      0.0556	|	0.0025      0.6946	|	0.0027      1.5546	|	0.0062      1.2635	|	0.0022      0.5462	|	0.0018      0.4707	|	0.0037      0.3371	|	0.0028      0.1859	|	0.0050      1.1563	|	0.0018      0.2064	|	0.0024      0.1232	|	0.0032      0.1720	|	0.0026      0.0805	|	0.0030      0.1011	|	0.0115      0.5880	|	0.0070      0.5729	|	0.0054      2.1548	|	0.0032      0.1812	|	0.0025      0.1342	|	0.0037      0.1531	|	0.0043      0.0504	|	0.0043      0.0488	|	0.0048      0.3172	|	0.0052      0.2623	|	0.0066      1.3771	|	0.0043      0.0693	|	0.0033      0.0554	|	0.0039      0.0645	|	0.0039      0.0237	|	0.0037      0.0253	|	0.0046      0.1679	|	0.0047      0.1874	|	0.0084      0.9788	|
74        	0.0013    	0.0037    	23.795    |	0.0027      0.0438	|	0.0020      0.5563	|	0.0024      1.3674	|	0.0053      1.0619	|	0.0018      0.4632	|	0.0015      0.4043	|	0.0033      0.3044	|	0.0024      0.1589	|	0.0046      1.0544	|	0.0016      0.1779	|	0.0020      0.1050	|	0.0026      0.1385	|	0.0022      0.0664	|	0.0024      0.0814	|	0.0109      0.5591	|	0.0063      0.5148	|	0.0052      2.0789	|	0.0027      0.1533	|	0.0020      0.1094	|	0.0030      0.1245	|	0.0035      0.0409	|	0.0034      0.0387	|	0.0044      0.2901	|	0.0044      0.2242	|	0.0065      1.3518	|	0.0037      0.0586	|	0.0027      0.0456	|	0.0031      0.0519	|	0.0031      0.0187	|	0.0029      0.0195	|	0.0037      0.1364	|	0.0038      0.1486	|	0.0074      0.8622	|
99        	0.0012    	0.0035    	23.755    |	0.0023      0.0379	|	0.0018      0.4829	|	0.0023      1.2832	|	0.0049      0.9958	|	0.0017      0.4261	|	0.0013      0.3545	|	0.0031      0.2871	|	0.0022      0.1464	|	0.0040      0.9348	|	0.0015      0.1640	|	0.0018      0.0945	|	0.0023      0.1234	|	0.0020      0.0600	|	0.0022      0.0744	|	0.0099      0.5070	|	0.0057      0.4652	|	0.0047      1.8681	|	0.0024      0.1381	|	0.0018      0.0971	|	0.0026      0.1092	|	0.0032      0.0369	|	0.0031      0.0350	|	0.0041      0.2696	|	0.0039      0.1995	|	0.0055      1.1471	|	0.0033      0.0529	|	0.0024      0.0409	|	0.0028      0.0454	|	0.0027      0.0167	|	0.0025      0.0174	|	0.0035      0.1280	|	0.0034      0.1339	|	0.0068      0.7896	|
124       	0.0011    	0.0034    	23.320    |	0.0022      0.0351	|	0.0016      0.4507	|	0.0022      1.2388	|	0.0047      0.9567	|	0.0015      0.3878	|	0.0013      0.3353	|	0.0027      0.2463	|	0.0021      0.1378	|	0.0043      0.9855	|	0.0014      0.1524	|	0.0017      0.0881	|	0.0021      0.1128	|	0.0019      0.0563	|	0.0020      0.0678	|	0.0097      0.4986	|	0.0052      0.4271	|	0.0047      1.8774	|	0.0023      0.1278	|	0.0017      0.0902	|	0.0024      0.1003	|	0.0029      0.0345	|	0.0030      0.0333	|	0.0042      0.2740	|	0.0039      0.1993	|	0.0051      1.0599	|	0.0030      0.0488	|	0.0023      0.0378	|	0.0025      0.0413	|	0.0025      0.0155	|	0.0024      0.0161	|	0.0033      0.1212	|	0.0033      0.1305	|	0.0066      0.7710	|
149       	0.0011    	0.0034    	23.770    |	0.0020      0.0333	|	0.0016      0.4357	|	0.0022      1.2369	|	0.0046      0.9298	|	0.0015      0.3642	|	0.0012      0.3148	|	0.0024      0.2186	|	0.0020      0.1330	|	0.0039      0.9071	|	0.0013      0.1476	|	0.0016      0.0845	|	0.0020      0.1073	|	0.0018      0.0532	|	0.0019      0.0659	|	0.0090      0.4628	|	0.0050      0.4076	|	0.0043      1.6963	|	0.0021      0.1210	|	0.0016      0.0847	|	0.0023      0.0946	|	0.0028      0.0328	|	0.0028      0.0315	|	0.0040      0.2642	|	0.0036      0.1852	|	0.0051      1.0553	|	0.0029      0.0466	|	0.0022      0.0362	|	0.0024      0.0391	|	0.0024      0.0149	|	0.0023      0.0154	|	0.0033      0.1195	|	0.0032      0.1264	|	0.0064      0.7505	|
174       	0.0010    	0.0033    	23.002    |	0.0019      0.0316	|	0.0015      0.4188	|	0.0021      1.1944	|	0.0043      0.8784	|	0.0014      0.3561	|	0.0011      0.3039	|	0.0024      0.2157	|	0.0019      0.1303	|	0.0040      0.9217	|	0.0013      0.1420	|	0.0016      0.0815	|	0.0019      0.1026	|	0.0017      0.0504	|	0.0019      0.0640	|	0.0086      0.4420	|	0.0047      0.3892	|	0.0043      1.6878	|	0.0020      0.1151	|	0.0015      0.0814	|	0.0022      0.0900	|	0.0027      0.0319	|	0.0027      0.0303	|	0.0039      0.2569	|	0.0037      0.1869	|	0.0052      1.0839	|	0.0027      0.0440	|	0.0021      0.0344	|	0.0022      0.0368	|	0.0023      0.0143	|	0.0022      0.0148	|	0.0031      0.1132	|	0.0029      0.1157	|	0.0064      0.7492	|
199       	0.0010    	0.0033    	23.556    |	0.0019      0.0311	|	0.0015      0.4089	|	0.0020      1.1643	|	0.0042      0.8499	|	0.0013      0.3374	|	0.0011      0.2910	|	0.0023      0.2120	|	0.0019      0.1270	|	0.0038      0.8768	|	0.0012      0.1353	|	0.0016      0.0804	|	0.0018      0.0984	|	0.0017      0.0506	|	0.0018      0.0623	|	0.0095      0.4889	|	0.0047      0.3855	|	0.0043      1.7011	|	0.0020      0.1107	|	0.0014      0.0784	|	0.0021      0.0860	|	0.0027      0.0311	|	0.0027      0.0298	|	0.0039      0.2547	|	0.0034      0.1750	|	0.0049      1.0115	|	0.0026      0.0421	|	0.0020      0.0329	|	0.0021      0.0353	|	0.0023      0.0138	|	0.0021      0.0143	|	0.0030      0.1089	|	0.0029      0.1155	|	0.0056      0.6521	|
224       	0.0010    	0.0033    	23.866    |	0.0018      0.0299	|	0.0015      0.4010	|	0.0020      1.1309	|	0.0040      0.8147	|	0.0013      0.3277	|	0.0011      0.2904	|	0.0023      0.2113	|	0.0019      0.1241	|	0.0039      0.8923	|	0.0012      0.1356	|	0.0015      0.0764	|	0.0018      0.0970	|	0.0017      0.0514	|	0.0018      0.0617	|	0.0090      0.4607	|	0.0045      0.3687	|	0.0041      1.6302	|	0.0019      0.1079	|	0.0014      0.0762	|	0.0020      0.0837	|	0.0026      0.0303	|	0.0026      0.0294	|	0.0039      0.2540	|	0.0034      0.1753	|	0.0054      1.1290	|	0.0026      0.0410	|	0.0019      0.0324	|	0.0021      0.0344	|	0.0022      0.0136	|	0.0021      0.0143	|	0.0029      0.1064	|	0.0029      0.1151	|	0.0062      0.7222	|
